Species,maximum reported Species,maximum reported Species,maximum reported
"",% impact,% impact,% impact
Apiognomonia veneta,0 Alternaria sesami,40 Alternaria brassicae,71
Atherigona miliaceae,0.3 Amblypelta cocophaga,40 Anarsia lineatella,71
Cryptophlebia illepida,4 Bemisia tabaci (B biotype),40 Anthonomus quadrigibbus,75
Conogethes punctiferalis,5 Darna trima,40 Choristoneura conflictana,75
Dysaphis plantaginea,5.2 Alternaria japonica,42 Colletotrichum kahawae,75
Bathycoelia thalassina,9 Cosmopolites sordidus,44 Aspergillus niger,76
Amrasca biguttula biguttula,9.2 Drepanopeziza punctiformis,45 Aleurotrachelus socialis,79
Apiosporina morbosa,10 Anoplophora glabripennis,46 Aonidomytilus albus,80
Argyrotaenia citrana,10 Anomis sabulifera,48 Aphis gossypii,80
Ascochyta sorghi,10 Aphis craccivora,48 Atherigona biseta,80
Asproparthenis punctiventris,10 Agrotis segetum,50 Colletotrichum acutatum,80
Brachycerus muricatus,10 Alternaria brassicicola,50 Coniella diplodiella,80
Ceratocystis paradoxa,10 Anthonomus eugenii,50 Corticium rolfsii,80
Dasineura mali,10 Anthonomus signatus,50 Cylas formicarius,80
Agromyza frontella,11 Botrytis fabae,50 Delia antiqua,80
Balansia oryzae-sativae,11 Ceratocystis fimbriata,50 Diuraphis noxia,80
Cinara cupressi,12 Colletotrichum circinans,50 Alternaria dauci,82
Busseola fusca,15 Colletotrichum linicola,50 Armillaria mellea,85
Cochliobolus sativus,15 Delia coarctata,50 Bactrocera invadens,85
Corcyra cephalonica,15 Diatraea grandiosella,50 Adoretus versutus,90
Diaporthe phaseolorum var. meridionalis,15 Didymella ligulicola,50 Amblypelta lutescens,90
Anaphothrips obscurus,16 Anthonomus grandis,51 Amblypelta nitida,90
Chalara elegans,19 Botrytis aclada,51 Bactrocera cucurbitae,90
Alternaria citri,20 Dorysthenes buqueti,51 Bactrocera passiflorae,90
Alternaria dianthicola,20 Aphis glycines,52 Carpomya pardalina,90
Cercospora sorghi,20 Antigastra catalaunalis,53 Ceratocystis fimbriata f. platani,90
Choanephora cucurbitarum,20 Cercospora beticola,55 Bactrocera frauenfeldi,91
Ceutorhynchus assimilis,21 Cephus pygmeus,56 Ciborinia camelliae,95
Chilo infuscatellus,22 Cladosporium cucumerinum,57 Colletotrichum lindemuthianum,95
Chrysomphalus dictyospermi,23 Alternaria porri,59 Cronartium ribicola,95
Cydia splendana,23 Acalymma vittatum,60 Bactrocera kirki,99
Agromyza oryzae,25 Alternaria triticina,60 Adelges piceae,100
Aspidiotus destructor,25 Alternaria helianthi,60 Adelphocoris lineolatus,100
Aulacaspis tegalensis,25 Bactrocera occipitalis,60 Agrilus planipennis,100
Cephus cinctus,25 Chaetocnema pulicaria,60 Agrius convolvuli,100
Cronartium quercuum,25 Colletotrichum gossypii,60 Amritodus atkinsoni,100
Dysmicoccus brevipes,25 Alternaria radicina,62 Anisogramma anomala,100
Chlorops oryzae,26 Diaporthe phaseolorum var. caulivora,62 Aonidiella aurantii,100
Cyclaneusma minus,26 Blumeria graminis,63 Bactrocera facialis,100
Chilo auricilius,29 Basilepta fulvicornis,66 Bactrocera zonata,100
Acleris gloverana,30 Colletotrichum sublineolum,67 Calopepla leayana,100
Bruchus pisorum,30 Acraea acerata,70 Chrysomphalus aonidum,100
Chrysophtharta bimaculata,30 Aphis fabae,70 Chrysomyxa abietis,100
Colletotrichum truncatum,30 Didymella lentis,70 Cicadulina mbila,100
Diatraea saccharalis,30 Didymella pinodes,70 Cylas puncticollis,100
Colletotrichum capsici,35 Dryocosmus kuriphilus,70 Didymella fabae,100
Brevicoryne brassicae,37 Dysdercus peruvianus,70,
