score,integrated_algebra,global_history,living_environment,english,us_history
0,56,55,66,165,65
1,NA,8,3,69,4
2,1,9,2,237,16
3,NA,3,1,190,10
4,3,15,1,109,6
5,2,11,10,122,8
6,4,29,3,151,7
7,1,37,2,175,12
8,24,53,6,197,16
9,3,49,3,175,28
10,NA,64,8,227,34
11,6,83,11,217,58
12,23,87,7,28,67
13,1,54,16,230,42
14,3,145,18,303,57
15,58,151,50,192,98
16,1,129,13,156,125
17,73,214,59,163,115
18,26,267,18,210,30
19,1,127,100,172,118
20,28,271,24,404,153
21,185,248,140,237,202
22,1,411,45,235,136
23,170,433,191,433,214
24,98,254,56,246,177
25,49,570,250,256,162
26,328,657,103,267,332
27,73,515,301,298,284
28,359,280,401,339,248
29,215,868,87,294,281
30,147,1063,499,344,446
31,670,804,80,402,602
32,147,579,562,695,123
33,643,1069,777,84,515
34,421,1423,10,733,659
35,312,222,921,99,459
36,1181,1572,174,784,361
37,1179,1474,881,2,887
38,784,1890,1116,546,587
39,548,341,15,586,391
40,1608,1999,1242,1010,1082
41,394,1773,1406,715,730
42,2401,2180,21,630,614
43,229,356,1540,681,1021
44,2545,2348,1706,619,845
45,518,2095,29,113,1234
46,2993,1160,1735,1290,775
47,328,1714,1910,131,937
48,3229,2526,342,1717,1392
49,4217,2162,1592,159,792
50,424,1043,2063,2016,1030
51,3471,1526,2023,111,1174
52,585,1779,300,1577,631
53,3557,1934,1607,133,790
54,2428,243,1534,1493,912
55,2240,3765,3589,249,1311
56,4997,2901,1244,2908,1752
57,2313,1361,2453,244,2363
58,4018,2191,1610,3304,791
59,2200,2383,2357,2896,1455
60,2464,1812,1797,114,1289
61,3114,406,1717,1613,335
62,2540,635,1343,83,544
63,1389,709,823,1185,566
64,102,349,237,1,101
65,8451,6392,7978,6084,4749
66,3959,564,3133,345,2992
67,3546,5063,2400,6393,3717
68,3020,4338,2218,182,1201
69,4773,2611,2178,3918,1827
70,2625,213,2473,2004,2295
71,2429,2357,2133,2069,479
72,2296,2343,1840,1735,2118
73,3772,2062,3111,1960,1706
74,1725,1706,1946,1606,2023
75,3653,404,1758,2634,417
76,2568,1936,2952,4818,1983
77,2638,1845,1636,2221,1918
78,3126,1593,1448,2235,1554
79,2113,237,2583,3699,1901
80,2641,1799,1438,1653,385
81,2475,1728,2481,1838,1761
82,2226,1511,1118,1374,1651
83,1439,1268,2139,1515,1690
84,2313,143,916,1150,1326
85,612,1610,1320,3145,1713
86,1636,1390,2019,1521,1608
87,928,1402,940,2515,1545
88,884,1212,1841,1090,231
89,473,1093,789,1790,1382
90,744,1116,1718,1069,1356
91,412,1029,689,871,1252
92,312,924,690,1331,1251
93,308,890,1211,1400,1187
94,248,714,462,827,1059
95,242,1388,457,521,1083
96,125,547,403,729,972
97,110,1229,446,1071,3039
98,55,764,87,171,2074
99,19,499,NA,638,1710
100,NA,NA,NA,NA,NA
NA,148,65,95,86,83
