ParentCoFinal,EMPTY,PET,Grand Total,number of events,number of volunteers
Grand Total,0,8,8,1,15
Unbranded,0,8,8,1,15
Shumensko - Carlsberg Bulgaria,0,0,0,1,15
Nova Brasilia - Jacobs Douwe Egberts BG,0,0,0,1,15
Novest - M - Sahand Ltd.,0,0,0,1,15
Peshtera - mastic,0,0,0,1,15
Pirinsko - Carlsberg Bulgaria,0,0,0,1,15
Prestizh,0,0,0,1,15
Prestizh - Cosmetic Company Rosa,0,0,0,1,15
Speedy,0,0,0,1,15
Lukchecta - Zaharni zavodi,0,0,0,1,15
Tastino wffle,0,0,0,1,15
Test,0,0,0,1,15
The Coca-Cola Company,0,0,0,1,15
Tuborg,0,0,0,1,15
Zagorka,0,0,0,1,15
Zhivel Agro,0,0,0,1,15
Nestlé,0,0,0,1,15
"""ESE""",0,0,0,1,15
"""Inko"" noodles / Ð®Ñ„ÐºÐ° â€œÐ˜Ð½ÐºÐ¾""",0,0,0,1,15
Lidl - Argus beer,0,0,0,1,15
Ariana,0,0,0,1,15
Brazil kaffee,0,0,0,1,15
Cherisa,0,0,0,1,15
Crispy waffles,0,0,0,1,15
Derby,0,0,0,1,15
Devin,0,0,0,1,15
Elvan truffles,0,0,0,1,15
Evrikom,0,0,0,1,15
Fiorre Sherry 61,0,0,0,1,15
Fresh,0,0,0,1,15
Istanbul,0,0,0,1,15
Joe waffles,0,0,0,1,15
Kanchevi,0,0,0,1,15
King,0,0,0,1,15
Lidl,0,0,0,1,15
Lidl Lager beer,0,0,0,1,15
