year,race,home_owner_pct
1976,White,0.6775375823083613
1976,Black,0.4423821605020697
1976,Hispanic,0.4270691994572592
1977,White,0.675531345156305
1977,Black,0.44122942386831276
1977,Hispanic,0.4225900681596884
1978,White,0.6766516269758269
1978,Black,0.44540554093017426
1978,Hispanic,0.4261501210653753
1979,White,0.7019315575939319
1979,Black,0.48189933052318373
1979,Hispanic,0.46004254026131874
1980,White,0.705324590905237
1980,Black,0.4860237596086653
1980,Hispanic,0.4758414766558089
1981,White,0.705935552092609
1981,Black,0.47812817904374366
1981,Hispanic,0.46646185355862774
1982,White,0.7016267417118539
1982,Black,0.4720455306327419
1982,Hispanic,0.4653266331658292
1983,White,0.6761772020442185
1983,Black,0.4534544638851503
1983,Hispanic,0.41223990208078337
1984,White,0.672999354630526
1984,Black,0.4551754006063231
1984,Hispanic,0.4042995839112344
1985,White,0.6725387638062872
1985,Black,0.44145569620253167
1985,Hispanic,0.41101781691583045
1986,White,0.6662270162975344
1986,Black,0.44513626620394
1986,Hispanic,0.40571647803568
1987,White,0.6684048444697479
1987,Black,0.45404152388631325
1987,Hispanic,0.40568475452196384
1988,White,0.6715645668990302
1988,Black,0.4244060475161987
1988,Hispanic,0.40224640224640223
1989,White,0.673953395038503
1989,Black,0.4182369093835811
1989,Hispanic,0.41573604060913705
1990,White,0.6748000948068311
1990,Black,0.42389853137516686
1990,Hispanic,0.4117647058823529
1991,White,0.6734388894378026
1991,Black,0.42414019304657485
1991,Hispanic,0.38954983922829584
1992,White,0.6748331802877258
1992,Black,0.422539023730037
1992,Hispanic,0.3992788838375921
1993,White,0.6812007358405516
1993,Black,0.4223413762287757
1993,Hispanic,0.400543314216722
1994,White,0.6782502093776931
1994,Black,0.4246963921638153
1994,Hispanic,0.4156479217603912
1995,White,0.6860647025806991
1995,Black,0.4193908193908194
1995,Hispanic,0.4237879767291532
1996,White,0.6896380352853475
1996,Black,0.4392329619072299
1996,Hispanic,0.41239450812444894
1997,White,0.6915905430348347
1997,Black,0.4550334461970435
1997,Hispanic,0.4307598784194529
1998,White,0.6973962325505771
1998,Black,0.4597562930896264
1998,Hispanic,0.4490104772991851
1999,White,0.7034582396917856
1999,Black,0.4549646235789808
1999,Hispanic,0.4520971302428256
2000,White,0.7080676620547274
2000,Black,0.4712428982800218
2000,Hispanic,0.4553063633437064
2001,White,0.7147950683105632
2001,Black,0.4768483376347351
2001,Hispanic,0.4558501096272673
2002,White,0.7184336472508326
2002,Black,0.4817123544874202
2002,Hispanic,0.47471187732164966
2003,White,0.720934038954662
2003,Black,0.47694021537318976
2003,Hispanic,0.47490960402151866
2004,White,0.7250929731845762
2004,Black,0.4906449482720669
2004,Hispanic,0.473742730071844
2005,White,0.7303832902670112
2005,Black,0.49127380693750455
2005,Hispanic,0.4929380850714403
2006,White,0.7238534854895927
2006,Black,0.4727896014855021
2006,Hispanic,0.4874990015176931
2007,White,0.7207116836492266
2007,Black,0.4816775811620454
2007,Hispanic,0.49302397286672317
2008,White,0.7185633779123559
2008,Black,0.4714452614940554
2008,Hispanic,0.4911912437214184
2009,White,0.7120685855798189
2009,Black,0.4641315519013361
2009,Hispanic,0.4780633147113594
2010,White,0.7101446239881033
2010,Black,0.45994568906992533
2010,Hispanic,0.47563543389983454
2011,White,0.706010009760555
2011,Black,0.44330167048804453
2011,Hispanic,0.46534943285766556
2012,White,0.6987129243843075
2012,Black,0.4328434832830649
2012,Hispanic,0.46117076550051955
2013,White,0.6944168670999437
2013,Black,0.4281123991935484
2013,Hispanic,0.45953544413950065
2014,White,0.6907763227675111
2014,Black,0.4275398406374502
2014,Hispanic,0.45358906921547243
2015,White,0.682
2015,Black,0.423
2015,Hispanic,0.456
2016,White,0.682
2016,Black,0.41600000000000004
2016,Hispanic,0.46
