type,year,standalone_prior,hybrid_prior,standalone_new,hybrid_new,total_gw
Solar,2014,25.052419999999998,0,19.511699999999998,0,44.564119999999996
Solar,2015,33.05512000000001,0,23.763492,0,56.81861200000001
Solar,2016,36.977478000000005,0,83.3325392,0,120.3100172
Solar,2017,83.57831400076292,0,104.93103424954224,0,188.50934825030515
Solar,2018,138.1984375006,11.556250000000006,115.5446449976,17.66671,282.9660424982
Solar,2019,155.78379600068658,43.00011800000001,109.78472499961853,58.583096399999995,367.1517354003051
Solar,2020,195.5608,95.9643,107.61532740000001,63.3043,462.44472740000003
Wind,2014,66.67344999999999,0,29.202450000000002,0,95.87589999999999
Wind,2015,65.02728499999999,0,44.562560000000005,0,109.589845
Wind,2016,74.75129,0,66.92415999999999,0,141.67544999999998
Wind,2017,98.7261699672413,0,81.44831500324247,0,180.17448497048377
Wind,2018,138.14305501430002,2.1899899952,91.00174494889998,0.8284000122,232.1631899706
Wind,2019,158.94881399866483,2.3705,55.64001,8.5429,225.50222399866482
Wind,2020,151.4145,2.952,44.49529999999999,10.277000000000001,209.1388
Storage,2014,0,NA,0,NA,0
Storage,2015,1.7607400000000002,NA,5.5424,NA,7.30314
Storage,2016,5.10035,NA,6.637814999999999,NA,11.738164999999999
Storage,2017,10.055929998245242,NA,8.826424999160766,NA,18.882354997406008
Storage,2018,9.410030000000003,NA,19.623394304529995,NA,29.033424304529998
Storage,2019,18.066953000000005,NA,37.33636599999999,NA,55.403318999999996
Storage,2020,41.73935,67.13188,50.997,44.59851,204.46674
Gas,2014,79.96637999999999,0,65.1747,0,145.14108
Gas,2015,105.119612,0,58.229665999999995,0,163.349278
Gas,2016,93.61938199999999,0,39.756319000000005,0,133.375701
Gas,2017,74.77010797925473,0,36.10036,0,110.87046797925473
Gas,2018,58.24732700451,0.1058,27.4209400024,0.23845,86.01251700691
Gas,2019,48.27930400390626,0.3488,28.447029998817445,0.1315,77.2066340027237
Gas,2020,48.03790000000001,1.221,21.790800000000004,2.9719999999999978,74.0217
Nuclear,2014,5.757999999999999,NA,4.205,NA,9.963
Nuclear,2015,9.554,NA,0,NA,9.554
Nuclear,2016,1.408,NA,0.9522,NA,2.3602
Nuclear,2017,0.7442,NA,0.08059999999999999,NA,0.8248
Nuclear,2018,0.5848,NA,0.6451,NA,1.2299
Nuclear,2019,3.2835,NA,0.05,NA,3.3335
Nuclear,2020,3.2823,0,0.1,0,3.3823000000000003
Coal,2014,1.7830000000000001,NA,1.8368,NA,3.6198
Coal,2015,3.169,NA,0.492,NA,3.661
Coal,2016,0.845,NA,0.03,NA,0.875
Coal,2017,0.179,NA,0.014,NA,0.193
Coal,2018,0.08299999999999996,NA,0.736,NA,0.819
Coal,2019,0.03900000000000001,NA,0.011,NA,0.05
Coal,2020,0.13069999999999998,0,0,0,0.13069999999999998
Other,2014,18.349089999999997,NA,7.0573,NA,25.406389999999995
Other,2015,9.364885999999998,NA,3.796967,NA,13.161852999999999
Other,2016,6.0331399999999995,NA,4.43909,NA,10.47223
Other,2017,3.9890000014305107,NA,2.24446,NA,6.233460001430511
Other,2018,3.6219840007000004,NA,2.9674510000199996,NA,6.58943500072
Other,2019,4.102278999904632,NA,0.545401,NA,4.647679999904632
Other,2020,5.41296,0.0672,0.8033,1.629229,7.912689
